item_id,context,inference_type,trigger,target_prejacent,competitor_prejacent,distractor_1_prejacent,distractor_2_prejacent,speaker
19,You heard that your friend Jia went to an arthouse film festival for the first time and watched a hyped new movie. You ask Jia: 'How was the movie?'. Jia replies:,marked,The movie caused some viewers to leave the festival early.,"the movie unintentionally caused the audience to not like the festival, e.g., because it was bad.","the movie intentionally caused the audience to not like the festival, e.g., because it contained an anti-festival message.",Jia once worked on a short film project herself.,your city often hosts movie festivals.,Jia
19,You heard that your friend Jia went to an arthouse film festival for the first time and watched a hyped new movie. You ask Jia: 'How was the movie?'. Jia replies:,baseline,The movie was well-received.,the movie was well-received.,the movie was not well-received.,Jia once worked on a short film project herself.,your city often hosts movie festivals.,Jia
20,Lio attended a fashion show for the first time. You ask Lio: ‘What did you think of the collection?'. Lio replies:,too_little,I have seen it.,the collection was not great. ,Lio has seen it.,Lio was a photographer at model castings.,the collection only had black and white clothes.,Lio
20,Lio attended a fashion show for the first time. You ask Lio: ‘What did you think of the collection?'. Lio replies:,too_much,The models put one foot in front of the other while wearing arrangements of fabric and complex hairstyles.,the collection showcased clothes that would not be well suited for every day life.,the models put one foot in front of the other while wearing arrangements of fabric and complex hairstyles.,Lio was a photographer at model castings.,the collection only had black and white clothes.,Lio
20,Lio attended a fashion show for the first time. You ask Lio: ‘What did you think of the collection?'. Lio replies:,irrelevant,There is an interesting event tomorrow at the same venue.,Lio does not want to talk about the fashion show.,there is an interesting event tomorrow at the same venue.,Lio was a photographer at model castings.,the collection only had black and white clothes.,Lio
20,Lio attended a fashion show for the first time. You ask Lio: ‘What did you think of the collection?'. Lio replies:,marked,One model’s walk caused people to gasp.,"one model’s walk unintentionally caused people to gasp, e.g., because they fell.","one model’s walk intentionally caused people to gasp, e.g., because they performed a stunt.",Lio was a photographer at model castings.,the collection only had black and white clothes.,Lio
20,Lio attended a fashion show for the first time. You ask Lio: ‘What did you think of the collection?'. Lio replies:,baseline,The collection was great.,the collection was great.,the collection was too extravagant.,Lio was a photographer at model castings.,the collection only had black and white clothes.,Lio
21,Sophie went to a science fair where your mutual friend Jack presented a project. You ask Sophie: 'How was Jack's project?'. Sophie replies:,too_little,Jack presented the project.,Jack's project was not very good.,Jack presented the project.,Sophie often helped Jack with his science homework.,Jack once explained the concept of gravity to Sophie using an apple.,Sophie
21,Sophie went to a science fair where your mutual friend Jack presented a project. You ask Sophie: 'How was Jack's project?'. Sophie replies:,too_much,"Jack pulled his set up from a box, put it on the table, set up a poster and performed the steps that were supposed to be a demonstration.",Jack's project demonstration did not go as planned.,"Jack pulled his set up from a box, put it on the table, set up a poster and performed the steps that were supposed to be a demonstration.",Sophie often helped Jack with his science homework.,Jack once explained the concept of gravity to Sophie using an apple.,Sophie
21,Sophie went to a science fair where your mutual friend Jack presented a project. You ask Sophie: 'How was Jack's project?'. Sophie replies:,irrelevant,The project to the left of Jack's was very good.,Sophie does not want to talk about Jack's project.,the project to the left of Jack's was very good.,Sophie often helped Jack with his science homework.,Jack once explained the concept of gravity to Sophie using an apple.,Sophie
21,Sophie went to a science fair where your mutual friend Jack presented a project. You ask Sophie: 'How was Jack's project?'. Sophie replies:,marked,Jack's project made people shriek.,"Jack unintentionally made a project in such a way that made people shriek, e.g., because it made a sudden loud noise.","Jack intentionally made a project in such a way that made people shriek, e.g., because Jack told them to shriek for an audio recording.",Sophie often helped Jack with his science homework.,Jack once explained the concept of gravity to Sophie using an apple.,Sophie
21,Sophie went to a science fair where your mutual friend Jack presented a project. You ask Sophie: 'How was Jack's project?'. Sophie replies:,baseline,Jack's project was good.,Jack's project was good.,Jack's project was not good.,Sophie often helped Jack with his science homework.,Jack once explained the concept of gravity to Sophie using an apple.,Sophie
22,Jesse has been looking for a new hobby and attended a pottery class. You ask Jesse: 'How did the class go?’. Jesse replies:,too_little,I was there.,Jesse’s work was not very successful.,Jesse’s work was not very successful.,"Jesse’s colleagues attended the pottery class, too.",The pottery class teacher required taking a drawing class beforehand.,Jesse
22,Jesse has been looking for a new hobby and attended a pottery class. You ask Jesse: 'How did the class go?’. Jesse replies:,too_much,I made something out of clay that had the same general shape as pots normally do.,Jesse’s pot was not very good.,Jesse made something out of clay that had the same general shape as pots normally do.,"Jesse’s colleagues attended the pottery class, too.",The pottery class teacher required taking a drawing class beforehand.,Jesse
22,Jesse has been looking for a new hobby and attended a pottery class. You ask Jesse: 'How did the class go?’. Jesse replies:,irrelevant,A painting class took place next door to the pottery class.,Jesse does not want to talk about the pottery class.,a painting class took place next door to the pottery class.,"Jesse’s colleagues attended the pottery class, too.",The pottery class teacher required taking a drawing class beforehand.,Jesse
22,Jesse has been looking for a new hobby and attended a pottery class. You ask Jesse: 'How did the class go?’. Jesse replies:,marked,My pot caused a strong aesthetic reaction.,"Jesse's pot unintentionally or indirectly caused negative reactions, e.g., because it was ugly.","Jesse's pot intentionally or indirectly caused positive reactions, e.g., because Jesse is a pottery professional and made a beautiful piece.","Jesse’s colleagues attended the pottery class, too.",The pottery class teacher required taking a drawing class beforehand.,Jesse
22,Jesse has been looking for a new hobby and attended a pottery class. You ask Jesse: 'How did the class go?’. Jesse replies:,baseline,I made a nice pot.,Jesse’s pot was good.,Jesse’s pot was ugly.,"Jesse’s colleagues attended the pottery class, too.",The pottery class teacher required taking a drawing class beforehand.,Jesse
23,Jo went to a stand-up comedy show where their friend Josh performed. You ask Jo: 'How was Josh's performance?'. Jo replies:,too_little,Josh performed.,Josh’s performance was not very good.,John performed.,Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.,Jo
23,Jo went to a stand-up comedy show where their friend Josh performed. You ask Jo: 'How was Josh's performance?'. Jo replies:,too_much,Josh uttered a series of words with an intonation that suggested they were meant to be jokes.,Josh’s performance was not very good.,Josh uttered a series of words with an intonation that suggested they were meant to be jokes.,Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.,Jo
23,Jo went to a stand-up comedy show where their friend Josh performed. You ask Jo: 'How was Josh's performance?'. Jo replies:,irrelevant,Josh is a great cook.,Jo does not want to talk about Josh’s performance.,John is a great cook.,Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.,Jo
23,Jo went to a stand-up comedy show where their friend Josh performed. You ask Jo: 'How was Josh's performance?'. Jo replies:,marked,Josh's performance caused the audience to remain silent.,"Josh's performance unintentionally or indirectly caused the audience's silence, e.g., because it wasn’t funny.","Josh's performance intentionally or indirectly caused the audience's silence, e.g., because he performed a serious piece.",Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.,Jo
23,Jo went to a stand-up comedy show where their friend Josh performed. You ask Jo: 'How was Josh's performance?'. Jo replies:,baseline,Josh's performance was hilarious.,Josh's performance was hilarious.,Josh's performance was boring.,Jo was the first to encourage John to try stand-up comedy.,Josh tested his new jokes on Jo before performing them live.,Jo
24,Alex went to a magic show. You ask Alex: 'How were the magic tricks?'. Alex replies:,too_little,There were some magic tricks.,the  magic tricks were not very good.,there were some magic tricks.,Alex once volunteered as an assistant in a magic trick.,the magician had a trick with birds.,Alex
24,Alex went to a magic show. You ask Alex: 'How were the magic tricks?'. Alex replies:,too_much,The magician followed a series of movements that involved a top hat and a wand and resembled a build-up to a trick.,the magic tricks did not impress the audience because they were not successful.,the magician followed a series of movements that involved a top hat and a wand and resembled a build-up to a trick.,Alex once volunteered as an assistant in a magic trick.,the magician had a trick with birds.,Alex
24,Alex went to a magic show. You ask Alex: 'How were the magic tricks?'. Alex replies:,irrelevant,The curtains were a nice bright red color.,Alex does not want to talk about the magic tricks.,the curtains were a nice bright red color.,Alex once volunteered as an assistant in a magic trick.,the magician had a trick with birds.,Alex
24,Alex went to a magic show. You ask Alex: 'How were the magic tricks?'. Alex replies:,marked,The magician caused the audience to be shocked.,"the magician unintentionally did something that shocked the audience, e.g. they interrupted their performance.","the magician intentionally did something that shocked the audience, e.g. pulled out a rabbit from a top hat.",Alex once volunteered as an assistant in a magic trick.,the magician had a trick with birds.,Alex
24,Alex went to a magic show. You ask Alex: 'How were the magic tricks?'. Alex replies:,baseline,The magic tricks were good.,the magic tricks were good.,the magic tricks were not good.,Alex once volunteered as an assistant in a magic trick.,the magician had a trick with birds.,Alex
